raw_log,user_id,timestamp,action,amount,currency,location,device,date,amount_in_dollars,hour,day,month,year,txn_time_diff_hours,is_same_location,is_atm,transaction_risk,device_type,is_same_device,hour_risk,avg_prev_amount,amount_difference_from_avg
2025-06-01 12:03:31 - user=user1000 - action=cashout $2981.21 - atm: london - device=samsung galaxy s10,user1000,2025-06-01 12:03:31,cashout,2981.21,$,london,samsung galaxy s10,2025-06-01,2981.21,12,1,6,2025,-1.0,False,True,high,smart,False,Low,2981.21,0.0
01/06/2025 19:19:50 ::: user1000 *** debit ::: amt:1267.67€ @ manchester <xiaomi mi 11>,user1000,2025-06-01 19:19:50,debit,1267.67,€,manchester,xiaomi mi 11,2025-06-01,2028.2720000000002,19,1,6,2025,7.271944444444444,False,False,moderate,smart,False,Low,2981.21,-952.9379999999999
2025-06-02 19:52:44 | user: user1000 | txn: refund of $3610.68 from cardiff | device: huawei p30,user1000,2025-06-02 19:52:44,refund,3610.68,$,cardiff,huawei p30,2025-06-02,3610.68,19,2,6,2025,24.548333333333332,False,False,high,smart,False,Low,2504.741,1105.9389999999999
2025-06-03 10:11:53 - user=user1000 - action=cashout £4659.06 - atm: birmingham - device=nokia 3310,user1000,2025-06-03 10:11:53,cashout,4659.06,£,birmingham,nokia 3310,2025-06-03,6196.549800000001,10,3,6,2025,14.319166666666666,False,True,high,non-smart,False,Low,2873.3873333333336,3323.162466666667
2025-06-03 21:23:30 | user: user1000 | txn: cashout of £4063.97 from liverpool | device: none,user1000,2025-06-03 21:23:30,cashout,4063.97,£,liverpool,none,2025-06-03,5405.0801,21,3,6,2025,11.19361111111111,False,False,high,non-smart,False,Low,3704.1779500000002,1700.90215
2025-06-04 16:10:36 | user: user1000 | txn: refund of €2110.25 from birmingham | device: samsung galaxy s10,user1000,2025-06-04 16:10:36,refund,2110.25,€,birmingham,samsung galaxy s10,2025-06-04,3376.4,16,4,6,2025,18.785,False,False,high,smart,False,Low,4044.35838,-667.95838
2025-06-05 03:01:00::user1000::cashout::3032.41::leeds::pixel 6,user1000,2025-06-05 03:01:00,cashout,3032.41,none,leeds,pixel 6,2025-06-05,3032.41,3,5,6,2025,10.84,False,False,high,smart,False,High,3933.0319833333338,-900.6219833333339
2025-06-05 11:30:55 - user=user1000 - action=withdrawal $3016.86 - atm: leeds - device=iphone 13,user1000,2025-06-05 11:30:55,withdrawal,3016.86,$,leeds,iphone 13,2025-06-05,3016.86,11,5,6,2025,8.498611111111112,True,True,high,smart,False,Low,3804.3717,-787.5117
2025-06-07 07:27:00::user1000::deposit::353.96::none::pixel 6,user1000,2025-06-07 07:27:00,deposit,353.96,none,none,pixel 6,2025-06-07,353.96,7,7,6,2025,43.93472222222222,False,False,low,smart,False,Low,3705.9327375000003,-3351.9727375
usr:user1000|debit|$140.76|manchester|2025-06-09 22:30:55|none,user1000,2025-06-09 22:30:55,debit,140.76,$,manchester,none,2025-06-09,140.76,22,9,6,2025,63.06527777777778,False,False,moderate,non-smart,False,High,3333.491322222222,-3192.731322222222
